CompteurTemps	Temps	Cx0	Cy0	
408	20.35	-0.0571363	-0.0200954	
409	20.4	-0.0571099	-0.020083	
410	20.45	-0.0569082	-0.0201416	
411	20.5	-0.0565689	-0.0200024	
412	20.55	-0.0566577	-0.0200303	
413	20.6	-0.0567748	-0.0199924	
414	20.65	-0.0566924	-0.0196631	
415	20.7	-0.0562697	-0.0198317	
416	20.75	-0.0566371	-0.0201701	
417	20.8	-0.0570771	-0.0202201	
418	20.85	-0.056498	-0.0201249	
419	20.9	-0.0569305	-0.0201413	
420	20.95	-0.056621	-0.0201016	
421	21	-0.0563436	-0.02006	
422	21.05	-0.0567196	-0.0201303	
423	21.1	-0.0569959	-0.0202647	
424	21.15	-0.0567397	-0.0201608	
425	21.2	-0.0565674	-0.0201108	
426	21.25	-0.0567474	-0.0202454	
427	21.3	-0.0566845	-0.020197	
428	21.35	-0.056979	-0.0201763	
429	21.4	-0.0567472	-0.0201501	
430	21.45	-0.0568966	-0.0202694	
431	21.5	-0.0567204	-0.0202123	
432	21.55	-0.0566187	-0.0201989	
433	21.6	-0.0567819	-0.0201918	
434	21.65	-0.0568587	-0.0202718	
435	21.7	-0.0567499	-0.0201999	
436	21.75	-0.0568884	-0.0201753	
437	21.8	-0.0570744	-0.0202147	
438	21.85	-0.0565201	-0.0201992	
439	21.9	-0.0568753	-0.0201713	
440	21.95	-0.0568779	-0.0202237	
441	22	-0.0568578	-0.0201886	
442	22.05	-0.0567346	-0.0202527	
443	22.1	-0.0564901	-0.0203476	
444	22.15	-0.0568235	-0.0204092	
445	22.2	-0.0567784	-0.0204162	
446	22.25	-0.0568225	-0.0204461	
447	22.3	-0.0570051	-0.0204133	
448	22.35	-0.0570834	-0.0203702	
449	22.4	-0.0569549	-0.0203395	
450	22.45	-0.0569839	-0.020351	
